author,posted_on,rating,text
"Melissa of Katy, TX","Nov. 1, 2016",1,"Had them from 2014 to now. I'd tell new customers to run but there is nowhere to run to. I tried, but it turned out Comcast was Xfinity. Signing up for a contract has no meaning. The fine print in the contract that they suggest you read when they randomly change a contract says they can change anything anytime and are not doing anything wrong. I disagree. I have or had performance pro, paying for a speed of internet a month under a contract. Not month to month alone. The speed is not listed or told to you just it's between 25 and 50.I got a letter Friday saying Tue (today) I'm being forced into a new contract plan. I'm now paying for my data at the same speed with a cap of a terabyte. Seems like a lot but it's not and not what I signed up for. But all customer service says is that's the deal now. They don't offer plans by just speed it's changed. Those who use more Internet should pay more. It's not fair to the other customers. What does it matter fair it's what we signed up to use. I use firestick. We stream everything all day. It's frustrating. They kept saying it's the same, but if I use more just go to the unlimited plan for only $50 more. I don't have 150$. It's why we got rid of direcTV for firestick. Paying for an unlimited speed to being changed to pay for data is a huge difference. All they can say is, ""You won't know there was a change unless you go over 1000. The closest you got so far was 980 and we won't charge you for going over the first 2 months to get used to it."" When I first went to talk to someone at the store they didn't want to talk to me and told me I needed to call billing. They don't know about it. How can they not help or explain if we pay bills there and get equipment there. After a minute the guy called someone over who is good at explaining the letter. So now they know about the letter and someone can explain it. They just didn't want to deal with it in the store. So the other guy comes over and lies to us as well. Tells us the letter got sent to everyone but is only for new customers, not us. Whatever I know it's all a lie. We leave and today I call Comcast. As soon as you call it asks if you are calling about your data. Say yes and it directs the call to someone who only knows to say, ""Read your contract and there is nothing you can do."" They don't know anything. You need billing. Then why did it put the call to somewhere that can't help. It's the run around. The last guy I talked to is what is above. How can they be the only internet around. So I'm forced to pay by data now and I don't even get a better speed for being gypped. It's also wrong - I only got notified Friday. That Tuesday Nov 1st the change takes effect."
"Lori of Huntsville, AL","Nov. 1, 2016",1,"Disappointed. I have been a Comcast/Xfinity customer for almost two decades. I pay for high speeds and get intermittent internet. I call every week almost-- can't take the time to call more often and get FRUSTRATED. I spend 30 minutes with the first person resetting the modem (walking through their initial process - even after giving them the history) only to be told I will have to pay for a technician. After some complaining and explaining - they transfer me to a specialist who does speed tests and confirms what I am saying even though their test ""say"" the modem is working - he test each port on the modem (which is a new modem they replaced last week) and I have the same issue - tells me there is a line issue and my modem isn't performing correctly - technician reprograms the ports--retests it works awesome initially when they get it to carry more data--only to retest with the technician a few minutes later and the speed is low again. They say they need to send out a tech to look at the lines - COLD transfer me back to Xfinity without warning and when someone answers they start the process ALL OVER AGAIN - reset the modem charge me for tech - transfer me to specialist - another 3 hours wasted this week, last week - in this modern age and for $216 a month you would think you could work from home without distractions. I pay for the fastest package 115 mbps download and 25 mbps upload and receive random speeds throughout the day (between 9-80 mbps download and 2-22 mbps) upload - most often in the lower numbers with wireless monitoring showing ""dropped"" messages from my server and having to refresh pages and lose data regularly. Is there anyone out there who can help? I am attaching several speed tests from today during my calls between 10-12 a.m cst. What does a consumer do? Is there a dependable internet provider? It feels like they use their call systems to bully/frustrate the customer into submission."
"Richard of Lauderhill, FL","Oct. 31, 2016",1,"These people are unethical and disturbing oblivious to their customers needs. The internet speed tears are constantly changing and customers are being charged as the internet speeds change. For instance, when their ""blast"" service was first commissioned by me it was stated by Comcast that it was 100 Mbps. Now I see a $10.00 increase in my bill after 6 months and when speaking to a customer rep was told that it was not 100 Mbps but 75 Mbps and the blast in which I have had for 6 months plus was in fact 75 Mbps. The have added $10.00 to my bill for a service I already had. I told them to take it off and give me the 75 Mbps without the ""blast"" which I was told that it would put me to 25 Mbps. I will be shopping for another service. The end."
"Liz of Eden Prairie, MN","Oct. 31, 2016",1,"Unplanned, unexpected, all day outages, rude service reps. Rearranging my day to set up service only to deal with a totally inept technician who has to call for backup on another day. I could go on, but why? We are dropping this failure of a company and relying on hotspots from now on."
"Meta of Thornton, CO","Oct. 30, 2016",1,BE WARNED. You will have 10$ hidden fees when you sign up for this service. They charge you extra for the local news stations and a fee for local sports that you will not be told about until you see it on your first bill. The customer service people are a JOKE and rude rude rude. If you ask for a manager they will get snotty and never let you talk to one... I know they have attractive packages to get you hooked but it's a joke and you will pay more in the long run than the competitors.
"Emma of Medford, MA","Oct. 29, 2016",1,"Had Comcast. Overall the terrible experience everyone else is describing but there was no other provider in my area at the time, so we just dealt with it. Ultimately moved out of my apartment to an area that was serviced by other providers, so I called to cancel my account. Took forever, but finally get through, and take my hardware back to the store. KEEP YOUR RECEIPT. Had to deal with a debt collector for 9 months claiming I owed money for not returning the hardware. Luckily I had physical proof. I honestly would have just paid the $60 or whatever it was if I wasn't sure they'd just keep calling. Would deny liability, it would get kicked to a different debt collection agency, someone new would call me a few months later. FINALLY went away, but I will never use Comcast again. The best part is that when I'd call for customer service, they would ""accidentally"" disconnect my call. HINT: If you want to cancel services or complain, choose the option on the customer service menu for ""add more services."" They'll connect you to an agent immediately and you can ultimately get them to connect you to the right department directly. They'll probably still disconnect you a few times though."
"Marc of Bellingham, WA","Oct. 29, 2016",1,"When I called the infinity customer service center to complain about the new slow performance speed the first question customer service asked was ""How fast is it now and why didn't you buy the previous offer for the faster service."" I responded with ""What speed is my plan am I paying for now."" I explained to customer service the actual test was less than half that. The customer service rep said she would resend a signal to my router. No improved speed occurred. I turned on my hotspot on my cell phone to file this complaint. I am getting screw from Comcast/Xfinity. My internet speed is not what I pay for."
"Tyneshia of Murfreesboro, TN","Oct. 27, 2016",1,"Outraged, that it should not take a month to get internet service! We contacted Comcast the 1st week of October for internet service. We was lucky to have a tech come out the same week. When he came he informed us he could not do the installation due to our residence being brand new and there wasn't any type of line of cable to set it. We was told he would have to call a special tech to schedule a date the week after for him to do a burial for a line. The next week came a different tech came out said he couldn't do anything cause there needed to be a burial for the line. We told him the last guy said that and really we thought he was here to do the burial. He told us he was just a guy to set up installation for the modem. He informed us he would drop a line for this special tech to do a burial line and we would soon have our internet up and running by the next week. The same day our neighbours apparently was getting internet with Comcast as well. Their tech stole our line to hook up their internet and cable. We called the tech that came out that day who dropped the line and told him what happened. He ensured us it was ok and the special tech would drop another line when he comes out for the burial. The next week came Monday the tech was scheduled he never showed. We called Comcast. They told us they got behind and someone would come out Tuesday. Tuesday morning a tech came by told us he couldn't do anything. We needed a burial. We told him our story. He called his boss and told us there would be someone to come out to do a burial that same day. Well no one showed up. Here it is Thursday of the same week. I was on the phone with Comcast for almost 2 hrs this morning for them to tell us there will be another tech out on the 31st to a burial and set up installation and he is sorry he's just trying to give us options. Well the truth is there is no other options. No other internet service will provide us with service because of Comcast being in our area on Murfreesboro, TN. I'm stuck with Comcast. I have 3 children with game systems, phones and tablets. Not to mention now a days schools are switching to Apps for kids to do their homework on. Internet is becoming more of a need and not a want. So if it wasn't for my children I wouldn't be getting Comcast. And if there was another service I could get I would definitely be without Comcast. I've had their service in the past. The worst part about having them is their customer service. The bills do tend to go up in price without them informing you and I've had our service not work at times to where I had to reset the modem almost everyday. They need to do a better job with handling issues with customers that's spending money with their company."
"Donnie of Lawrenceville, GA","Oct. 27, 2016",1,"We got Xfinity on the first of July 2016. In the first week and a half, our internet was out, hours at a time, every single day. The first rep that was sent out to fix it said he didn't feel comfortable going in our crawl space so he told me I should reschedule another rep to come out. When I called to reschedule another rep, I learned that the rep that had been there that day, put in his notes that he changed out the splitter and fixed the problem. A couple of days later I had another rep come out with a trainee. They ran a bunch of test, but eventually fixed the problem... until I decided to add tv and security to my package with XFINITY. BIG MISTAKE!! With Comcast/XFINITY everything works off their internet. Cable and security all work off your internet connection. It's the worst setup I have ever encountered. If your internet goes out, not only do you not have internet, but you no longer have cable or security. Anyway, I added the cable and security package a little over a month ago. In this time, at least 2 days out of the week I have gone several hours at a time without internet, and thus, without security and cable as well. The last couple of nights have been the worst! Yesterday internet went out sometime while I was at work in the morning and didn't come back on until after 9 pm last night. Then it went out again sometime in the middle of the night and hasn't been on since. It is now 10:37 pm and I'm still without the services I pay for! XFINITY field tech are some of the worst I have ever encountered. When the tech came out to install cable and security he sat on his phone the whole time talking on the phone with buddies. I was suppose to get a Dvr box. I didn't get one. As for security, this bozo sets the door that he put the keypad next to as a door that never gets used, or as they like to call it, a sentry door. I didn't realize that until I tried getting out that door, a couple days later, and went to set the alarm, just to realize that I could not set the alarm from the inside because it would automatically set the alarm off. I had yet another tech come out 4 days later. This tech fixed the problem and in the process realized that a lot of the way my internet, cable and security was wired was not up to code. So he proceeded to ""fix it"" and in the process did something that started my whole very unreliable internet process again. I had another tech come out 3 days later. He checked wire reliability and ensured that all cables were connected tightly, both inside and outside. He even climbed the power pole. He said he found a loose cable, which he tightened, but just to make sure he even dispatched a bucket truck. The bucket truck arrived about an hour later. He went up the pole checked connections and came back down, just to tell me the same thing the previous tech told me. If I would have known this was going to be such a headache, I would have settled for a slower speed internet, paid a little bit more, and went with AT&T. I have had them before and their reliability was a million times better. The main two differences being AT&T works off of a dedicated fiber optics line where as XFINITY/Comcast is still working off of ancient copper wires. And none of AT&T's services piggyback off of any of their other services. They're all separate dedicated services, whereas All of XFINITY services rely on the internet connection. If the internet goes out, everything goes out."
"Donna of Minneapolis, MN","Oct. 23, 2016",1,"For no known reason, my internet went out on 10/23/2016 - it had been working very well since roughly 7/4/2016, which is shortly after I moved to a new apartment. The afternoon of 10/23, I was catching up with my friends on social media when the page failed to load and there was a message that said it would not load/could not be accessed. First I checked my Wifi links to my laptop and discovered that the Xfinity Wifi (an unsecured network) was active rather than my Home Base (a secured network); then I called the automated line to try to get my modem reset; finally, after waiting ages for the reset, the automated system transferred me over to the tech support line - something I had NOT requested. The rep was very rude and insensitive; first he laughed at me, then he cold-transferred me to another line. If I did not live in a historic building, I would have switched internet/cable providers LONG ago! And the cost! It's criminal. There's got to be a better way to get internet and cable TV - there's got to be a company that cares about its customers, treats them like human beings, and doesn't rob them blind. I feel like I'm stuck in a toxic relationship and can't escape."
"Tina of Pompano Beach, FL","Oct. 20, 2016",1,"I used Comcast for approximately 4 years prior to ATT Uverse. Each customer service rep I had to speak with although seemed ethical, never was. I called to check their promos and was given what I thought was a great price for all three services, and for about 3 months my bill stated exactly what I was quoted. On the 4th month and every month thereafter the bill increased. I was never advised by my Comcast rep that there would be an increase in one year, but why would he if the plan for good for one year? Every month after that I had problems with my bill, always increasing.I finally had enough and after calling Comcast Customer Service and being transferred to three (3) different rep's I finally got a supervisor who after 2 hours on the phone with him had the audacity to tell me that the Comcast rep I originally had when I signed up with Comcast, didn't have the authority to offer me the original promotional price he offered. Well if the customer rep that answers the phone gives me a price should I ask for his credentials or his actual job description? Finally, I contacted ATT Uverse, who initially gave me a promotional price which has finally expired, but even then, UVerse didn't lie to me and kept track of any conversations or offers they gave me. I finally cancelled my service with Comcast and have been with UVerse ever since. I wouldn't go back to Comcast if my life depended on it. They are the worse, lying company I've ever done business with."
"Cindy of Chicago, IL","Oct. 20, 2016",1,"The internet is very SLOW. Although they promise 75 Mbps, I actually got 10 Mbps on average. The bill is ridiculous. When I install their internet, they promise a monthly fee of $59.99 for one year. But in the second month, I got $69.99 on my bill, only because I didn't sign up for paperless bill. But nobody informs me of this before."
"ANTHONY of Fort Lauderdale, FL","Oct. 18, 2016",1,"I am on social security disability and am pretty much confined to my apartment. I got Comcast internet with 10MB for $14.99 a month for two years. Everything was ok until the next month when I got a letter in the mail addressed to me, not a bulk mailing. It offered 50+ channels for $19.99 a month for two years. It had all the channels I wanted. I decided to order it. When I called the representative, couldn't find that offer. After about a half hour she found one that had 35 channels for the same price. It had all the channels I was interested in so I ordered it. After they came and hooked it up I went to use it & could only get ten channels! Less than I was getting with my rabbit ears.After getting the runaround from 3 phone calls I was told they couldn't add the 35 channels to my internet, they had to put me in a bundle. This was never explained to me. This bundle was going to cost me $44.95 instead of $34.98!!! If I wanted to get the 35 channels it was going to cost me around $70.00 a month. Also the never told me I could get away without renting the box with the fancy voice activated remote. Since they had a ""30 day guarantee"" I told them I couldn't afford that price so just come and get the equipment & just give me back my 2 year $14.99 internet back. Well I was told the $14.99 internet was no longer available, only a $19.99 for one year. Asked to speak to a manager & was told there's nothing they could do it was no longer in the computer.I was the manager of a business that sold radio station equipment for ten years. We could manually change the price, description and terms on any item. There is no reason they couldn't go back & restore what I had. Especially since this whole problem was 110% their fault. I got nowhere with them, was so disgusted with the runaround, bait and switch tactics & totally unaware of what they were doing I just canceled the internet too. Comcast is the only show in town except for AT&T. I would never use AT&T because of a problem I had with them. I got a cell phone & internet plan from them. It had a two year contract but the price was right. I had windows 95 at the time. They sent me a windows 98 CD, which definitely wouldn't work.They sent me a total of 7 Windows 98 CD's. Since I couldn't get the internet, I told them I was cancelling it. Well they tried to get me to pay for the whole two year contract. They put that into collections which at last count had been resold. I believe it's like the tenth or eleventh company that has bought the ""debt"". The last one that called said that now with interest & all the fees was around $5000. When I explained about the Windows 95/98 disc problem she was so young she had no idea what Windows 95/98 was!!! L.O.L.So I bought an extender & give my landlord $10.00 to use his. Sometimes when he is playing games loading is real slow & I can't go and sit outside and use it. My only option is to get Metro PCS and use the phone as a hotspot but at $50.00 a month I just can't afford it. As it is I am struggling to get by on $1200.00 a month disability, with $700.00 rent & $120.00 electric plus food it doesn't leave too many discretionary $'s for Comcast's exorbitant $'s. How many people do you know living on less than $400.00 a month???So I am stuck with over the air TV & subpar internet to try and fight off cabin fever. Actually I don't know anyone who raves about either one of these monopolies. Comcast has made enough money with these shenanigans to buy NBC & Universal Studios and parks!!! And they treat customers like this. Same goes for AT&T."
"sandra of Houston, TX","Oct. 17, 2016",1,I set up an appointment and it was inconvenient to make sure I was home. After 30 mins past the window I phoned and spoke to a foreign agent who assured me I would get a call back within 30 mins. An hour later after being given a ticket number no one has bothered to call me. My internet service is so terrible and slow and nonexistent.
"Fei of Denver, CO","Oct. 16, 2016",1,"I called Comcast to claim that there was a voice service which I never used on my account. Actually, I called in this May said I only needed Internet service. However, the phone service was still on my account for half a year. Today I called the Box department and the guy called Louigie was very cold and impersonal and only repeated he didn't see any notes from my former notes about cancelling this service. I said it was weird that there had no notes about that because I came into Comcast store to declare that I only need internet. He just kept saying ""I know"" but did not want to help at all. The person from Box department just made me feel Comcast does not care their customers at all. The negligence they made is paid off by customers. This Louigie guy just showed the worst customer experience I have ever had. Thank you for representing Comcast with this image."
"Jai of Wilsonville, OR","Oct. 12, 2016",2,"service, tech calls never followed thru with. In short, they suck. I also can only use my devices within 15 direct feet of my wireless modem."
"CHARLOTTE of Woodbridge, VA","Oct. 12, 2016",1,"I spent over an hour on chat with ""Jacob"". I told him what my family needs were, and that we've been with a competitor since 2006. He comes back and says ""Sign up today for a two year agreement and for a limited time only, you can get a Visa Card up to $200 (based on the plan selected). Would you like to know more?"" I say ""tell me more."" So he goes on to recommend a plan for me, that I feel was a pretty good deal. However, he COMPLETELY forgets to tell me that the plan HE suggested disqualifies me for the $200 Visa... just never brings it up again until the end when I say, I don't see the $200 Visa on the Final Order. He apologizes for the confusion, I need to get a package that CLEARLY isn't suited for me AND will costs me an additional $110/month for the first 2 years and then an additional $60 month after that. WHAT?This ladies and gentlemen is called BAIT & SWITCH. He KNEW good and well that we were not suited for the Plan that would qualify us for the $200 Visa. Well... it gets worse. I ask him to speak to a manager and he REFUSES to let me communicate with a Manager - tells me ""manager will tell me the same thing."" I have never had Xfinity/Comcast whatever this is, but I cannot believe that they would engage in such shadiness. I told him that I hope corporate agrees with their handling of my situation because I will certainly be sharing. I'll see what corporate thinks, but clearly, I am unimpressed and very disappointed with my experience today."
"Aidan of Corrales, NM","Oct. 11, 2016",1,"I made an account specifically to write a review for Comcast and their horribly rebranded ""Xfinity"" internet service. I moved away from NYC recently where we had Time Warner as our provider for TV, phone, and internet, and I'm starting to miss the days of having to call them once a month to sort out an issue. Xfinity is spotty at best even when it's working ""properly"". We do our best to turn the wifi off of all devices that aren't in use so there are at most 3 or 4 devices connected at a given time. The most intensive of which is generally only one device streaming and possibly a gaming console in use at the same time. Every other device is generally just browsing light web pages or news apps. Constant buffering and inconsistent connection speeds are always an issue. Whenever we reset the router and test the speeds we have a few minutes of decent speed before it goes down again.Beyond the slow and inconsistent connection speeds, at least once a day without fail the connection will drop entirely and we have to restart our modem. When calling Comcast we almost always get a nonsensical machine telling us that service is entirely down in the area, which is simply not true, because after a 10 minute restart process it's restored...for the time being. So getting ahold of anyone is a process in and of itself. When we finally get a human on the phone they clearly don't have any kind of acceptable training and are as blind to the issues as we are.Horrible service and the only reason we are sticking with it is because there literally aren't any other providers in this area. And this is without even getting into the issues with our television service. There genuinely isn't a rating low enough to give to this terrible service with even worse support. Even if on paper the alternatives aren't better, trust me, go with them instead. With the new 1TB data caps per month rolling out nationwide there is even less reason to give your money to these dirtbags."
"Steven of Mt View, CA","Oct. 7, 2016",1,"CrapCast is going to forever ** the consumers for 10x the value of what their services are actually worth. ConCast has even decided to split up its bandwidth forcing its customers to upgrade their old boxes to accommodate XFINITY's new spy software. As for their internet services $50 gets you some rocking speeds, but a $20 they put a governor on that speed."
"john of Portland, OR","Oct. 7, 2016",2,"It's my belief that Comcast agents are poorly trained. I just completed calls to them about my service, and was transferred from ""expert"" to expert, but in the end, my service was not restored, and I currently have no internet provider (Xfinity) because of my upcoming move. No expert at Comcast can reinstate my account, and I just might have to take Comcast to small claims court. The cable service was very good, but now that I use wifi exclusively it does not work at all. I'm currently using a hotspot at our free public library."
"Kristy of Payson, UT","Oct. 6, 2016",1,"All of the negative reviews you read have common themes. Comcast was great for the first year. Increased the Price the second which was never disclosed. Increased again the third year and again when I cancelled. Every time you talk to someone they are reading a script and don't answer your question or understand what you are trying to get resolved. They answer everything with ""I have a promotion for you"". I never get angry but after a month of trying to resolve our problems and being lied to over and over again I lost my cool and hung up. So done. I would rather have no internet and use wifi hotspots or even our Podunk library that has 3 computers than ever sign up with this ridiculously shady company. Buyer COMPLETELY BEWARE!!!"
"Ron of Sewell, NJ","Oct. 5, 2016",1,"I have been having issues with my internet gateway (supplied by Comcast) for over a year. At least twice each day my gateway loses the connection and does a total reset. Not only does this interrupt my internet connection but also my phone service. Multiple times I have been on important telephones with clients only to have my phone service go dead. Not to mention all the times I have been using the internet for work and have it untimely disconnect. Over the past 12+ months I have made approximately three dozen calls to their support center and have had a dozen plus technicians come to my home. Unfortunately each time a technician is scheduled, I need to be home to wait for them. Unfortunately, none of the technicians have resolved the issue. The last time a supervisor came, changed a few wires, and gave me his number ** to call if I was still having issues. After placing 3 calls to him over the past 2 weeks he has not returned my call. Two people from their corporate office called and gave me their numbers. The first number (800) 597-6022 x-** has not returned my call after me leaving numerous voice messages. The second person (800) 597-6022 x-** at least answers her phone, however she has not been able to get the service supervisor to return my call.I don't think I am asking for too much. All I want them to do is resolve the issue. They can start by returning calls. Further attempt to resolve the issue by refraining from sending the same skill level technicians to my home. If the first 11 technicians with the same skill level could not resolve the issue what makes them think the 12th technician with the same skill level will do any better! It is really poor and unacceptable customer service when multiple calls to different company representatives are not returned."
"Andres of Margate, FL","Oct. 1, 2016",1,"If the service would be reliable, I could possibly give 2-3 stars. I have experienced daily outages at any time of the day. I pay for service so that I can turn on my Smart TV and watch cable TV or use the internet when it is convenient for me. The repeated outages totally prevents convenience and the experience of enjoying the service. I believe Xfinity is only using temporary fixes for the outages instead of actually creating or replacing equipment for a permanent fix. It doesn't mater if it rains or shines, the service is temperamental."
"Vince of Fort Myers, FL","Sept. 30, 2016",1,"While on the internet doing some secure banking, I was interrupted by Comcast, to take one of their surveys. I consider this hacking and an invasion of my privacy. Comcast has no right to interfere with my internet connection for any reason without a court order. If Comcast is snooping on its Customers it is an invasion of privacy and against the law. If anyone else has had this happen to them please reply to this email address and include your name to be included in a class action lawsuit against Comcast. **. Thank you."
"PETER of Vero Beach, FL","Sept. 27, 2016",1,"At least two to three times a week, usually late night or early morning Comcast internet service goes out. The latest time it went out at midnight and stayed out till 4:30 in the morning or later. The other complaint I have is that I pay for a minimum of 80 megabytes a second and Comcast rarely delivers this. AT&T is in the process of putting fiber optic directly to my house and my neighborhood. I am definitely going to take advantage of their service. It will cost less and being that it's fiber optic directly to the house will be much more reliable. It will also allow me to completely get rid of Comcast forever."
"Norris of Atlanta, GA","Sept. 20, 2016",1,"I requested the $19.99 internet service. However, I was billed $49.99. After speaking with more than seven customer service representative, I was told they couldn't correct the overbilling. Obviously, I'm VERY DISSATISFIED!!!"
"Monica of Jacksonville, AR","Sept. 19, 2016",1,"First off, I've been without internet for a week and on demand for a week as well. So I call the second day after nothing worked the first day to schedule a visit and the automated system kept saying that there was an outage in my area and it'll be resolved by 12:36. So I call later that afternoon and tell them and they try to send signals to the modem or whatever and it wouldn't work. So we scheduled a visit for that Friday between 10-12. Mind you that the first option they gave me was for the following freaking Monday and I said HECK NO that is way too long, I have a business to run.So the guy came on Friday at 1:30 NOT between 10-12 because I saw him pull up, he sat there for like 20 minutes and when I looked again he was freaking gone! So now I'm a little hot, so I call and ask what the heck is going on and why'd he just leave and the lady said, ""Well there's another outage in your area and he wouldn't have been able to do anything but he should have at least came to your door and told you but he didn't"". So later we rescheduled another appointment for Sunday between 3-4 and confirmed it.So I don't go to church. I'm here waiting on them to come and it's 4 and all call like, ""Where are you guys?"" And this lady on the phone tells me that it has been rescheduled for freaking Tuesday! I'm like WTF! Seriously! How the heck can you just do that?!! She said that after further checking for like 10 mins that the local office called to reschedule but no one picked up so we couldn't confirm. I was like, ""But you just said it's scheduled for Tuesday so how the heck did you confirm that if no one picked up?"" They didn't call by the way. So you just don't come?? You cancel it on your own and don't freaking show up?!! She said ""yes ma'am that's correct..."" So I'm pissed by now and then she says that someone will call me back by 6 with a rescheduled... No one has called!!! This isn't the first time something like this has happened... But I can guarantee it'll be the last... I'M GOING WITH DIRECT!!! äìë"
"Matthew of Tomball, TX","Sept. 19, 2016",1,"I was asking the guy on phone why when I subnet themes router it make Comcast go down. The guy then said ""don't hook the cable from the router to a cable box"". I had said 6 or 8 times cat 5 or cat 6 wire why would that type be hook to a cable box. I ask what he was talking about he said ""rg6 cable jack on modem should not be hook to cable box."" WOW he wasn't listening to me. I have video game systems I would rather have use cat 6 wire then WiFi but I also have network printer with only rj45 and 1 out of 4 tv has a dead WiFi chip that 2 port and I plan on network hard drive 3 port and number 4 desktop. He said ""Comcast didn't teach them about anything about networking. They learn only about Comcast gear"" that when I hung up my network speed is going to be 150mbps. I don't understand why. If it that high you can't subnet theme home internet. I would buy a router/modem but none has phone line for fax."
"Justin of Sinking Spring, PA","Sept. 18, 2016",1,"I started trying to cancel my Xfinity subscription in an online chat with them which they said they would help me and wasted about 20 minutes of my time before they told me I had to call retention at the number they provided me which I did. And then after talking to them for about five to ten minutes they said I would have to call back tomorrow to talk to retention to cancel my service. To which I said ""I thought I was talking to someone in the retention department,"" which she replied she was retention but could not cancel my service today and that I would have to call the same number again tomorrow."
